dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU146,2,1,1,0.7637434006,0.7171236873,0.7056831717,0.7056831717,0.7171236873,6.345826626,6.172981739,4.716641903,1,4.716641903,6.172981739,0,residual,0.8799999952,0
IRSTD-1K,XDU146,3,1,0,0.808506012,0.8002126813,0.7895572782,0.7895572782,0.8002126813,2.545395136,3.708757401,3.88759923,1,3.88759923,3.708757401,0,residual,0.8799999952,0
IRSTD-1K,XDU146,4,1,0,0.8501985073,0.803476572,0.8073239326,0.8073239326,0.803476572,4.557226658,2.463903189,2.480644464,1,2.480644464,2.463903189,0,residual,0.8799999952,0
IRSTD-1K,XDU48,1,1,1,0.5732395053,0.638655901,0.638655901,0.638655901,0.638655901,5.203253269,30.94317627,30.94317627,nan,30.94317627,30.94317627,nan,stage1,0.4444444478,0
IRSTD-1K,XDU48,2,1,1,0.8160380125,0.8003606796,0.7368537188,0.7368537188,0.8003606796,17.73389626,13.33638573,10.54850292,1,10.54850292,13.33638573,0,residual,0.4444444478,0
IRSTD-1K,XDU48,3,1,0,0.7682564259,0.7443040013,0.715103507,0.715103507,0.7443040013,1.492358208,3.597802401,3.598248243,1,3.598248243,3.597802401,0,residual,0.4444444478,0
IRSTD-1K,XDU48,4,1,0,0.7286970615,0.6213046312,0.5859950185,0.5859950185,0.6213046312,2.513076782,1.637507915,1.530988574,1,1.530988574,1.637507915,0,residual,0.4444444478,0
IRSTD-1K,XDU492,1,1,1,0.5878066421,0.6661579609,0.6661579609,0.6661579609,0.6661579609,5.011096478,16.47336769,16.47336769,nan,16.47336769,16.47336769,nan,stage1,0.5675675869,0
IRSTD-1K,XDU492,2,1,1,0.81216681,0.8036686778,0.7340894341,0.7340894341,0.8036686778,11.30749607,9.920243263,6.958927631,1,6.958927631,9.920243263,0,residual,0.5675675869,0
IRSTD-1K,XDU492,3,1,0,0.6871750951,0.7327985764,0.706659019,0.706659019,0.7327985764,1.776159286,3.181373596,3.131409883,1,3.131409883,3.181373596,0,residual,0.5675675869,0
IRSTD-1K,XDU492,4,1,0,0.6980218291,0.6181344986,0.5999730825,0.5999730825,0.6181344986,2.129047632,1.31030798,1.300825953,1,1.300825953,1.31030798,0,residual,0.5675675869,0
IRSTD-1K,XDU241,1,1,1,0.5250259042,0.6416686773,0.6416686773,0.6416686773,0.6416686773,2.664357424,9.011517525,9.011517525,nan,9.011517525,9.011517525,nan,stage1,0.875,0
IRSTD-1K,XDU241,2,1,1,0.8161824346,0.7869547606,0.724858284,0.724858284,0.7869547606,9.820066452,7.759268761,7.214966297,1,7.214966297,7.759268761,0,residual,0.875,0
IRSTD-1K,XDU241,3,1,0,0.7262525558,0.6687604785,0.6312231421,0.6312231421,0.6687604785,1.138924718,1.728918195,1.742046714,1,1.742046714,1.728918195,0,residual,0.875,0
IRSTD-1K,XDU241,4,1,0,0.710406065,0.6264554262,0.5964875221,0.5964875221,0.6264554262,1.218053579,0.9215999246,0.9342734814,1,0.9342734814,0.9215999246,0,residual,0.875,0
IRSTD-1K,XDU195,1,1,1,0.5787286162,0.651019454,0.651019454,0.651019454,0.651019454,6.073342323,11.68310165,11.68310165,nan,11.68310165,11.68310165,nan,stage1,0.380952388,0
IRSTD-1K,XDU195,2,1,1,0.8147333264,0.8026003242,0.7833592892,0.7833592892,0.8026003242,4.351295471,5.027185917,5.151916981,1,5.151916981,5.027185917,0,residual,0.380952388,0
IRSTD-1K,XDU195,3,1,0,0.7178657651,0.6452594995,0.6532306671,0.6532306671,0.6452594995,1.265002608,1.656654954,1.513915062,1,1.513915062,1.656654954,0,residual,0.380952388,0
IRSTD-1K,XDU195,4,1,0,0.7104870081,0.5706207156,0.5289031863,0.5289031863,0.5706207156,1.229119539,1.082393289,1.061808109,1,1.061808109,1.082393289,0,residual,0.380952388,0
IRSTD-1K,XDU801,1,1,1,0.5790980458,0.7121747732,0.7121747732,0.7121747732,0.7121747732,2.429182053,4.932263374,4.932263374,nan,4.932263374,4.932263374,nan,stage1,0.375,0
IRSTD-1K,XDU801,2,1,1,0.815510273,0.7958608866,0.7257264853,0.7257264853,0.7958608866,6.759767532,6.286386013,6.156630039,1,6.156630039,6.286386013,0,residual,0.375,0
IRSTD-1K,XDU801,3,1,0,0.8075031042,0.7547872663,0.7537517548,0.7537517548,0.7547872663,1.447513103,1.582741022,1.588483453,1,1.588483453,1.582741022,0,residual,0.375,0
IRSTD-1K,XDU801,4,1,0,0.6807118654,0.5246354342,0.5216291547,0.5216291547,0.5246354342,2.064608097,1.281663537,1.280454278,1,1.280454278,1.281663537,0,residual,0.375,0
IRSTD-1K,XDU104,1,1,1,0.5724776387,0.635669291,0.635669291,0.635669291,0.635669291,2.842135668,29.56878281,29.56878281,nan,29.56878281,29.56878281,nan,stage1,0.3333333433,0
IRSTD-1K,XDU104,2,1,1,0.8420680761,0.8185093999,0.7742361426,0.7742361426,0.8185093999,21.41491699,14.32775497,10.90973091,1,10.90973091,14.32775497,0,residual,0.3333333433,0
IRSTD-1K,XDU104,3,1,0,0.7323817611,0.7098273635,0.7006915808,0.7006915808,0.7098273635,1.426249981,2.997642517,3.286830664,1,3.286830664,2.997642517,0,residual,0.3333333433,0
IRSTD-1K,XDU104,4,1,0,0.6607099175,0.5558059216,0.4879383445,0.4879383445,0.5558059216,2.750555515,1.851673722,1.655700922,1,1.655700922,1.851673722,0,residual,0.3333333433,0
IRSTD-1K,XDU637,1,1,1,0.5680422783,0.6457496285,0.6457496285,0.6457496285,0.6457496285,2.165335655,7.786265373,7.786265373,nan,7.786265373,7.786265373,nan,stage1,0.5,0
IRSTD-1K,XDU637,2,1,1,0.8456826806,0.8244050145,0.7689982653,0.7689982653,0.8244050145,10.67242241,7.052176476,5.488575935,1,5.488575935,7.052176476,0,residual,0.5,0
IRSTD-1K,XDU637,3,1,0,0.7448532581,0.6573494673,0.6731531024,0.6731531024,0.6573494673,1.475466728,1.572942972,1.594584346,1,1.594584346,1.572942972,0,residual,0.5,0
IRSTD-1K,XDU637,4,1,0,0.714335382,0.534471333,0.5123628378,0.5123628378,0.534471333,0.8716987371,0.9273007512,0.9353092313,1,0.9353092313,0.9273007512,0,residual,0.5,0
IRSTD-1K,XDU996,1,1,1,0.5998185873,0.7034312487,0.7034312487,0.7034312487,0.7034312487,5.698560238,12.15580463,12.15580463,nan,12.15580463,12.15580463,nan,stage1,0.4444444478,0
IRSTD-1K,XDU996,2,1,1,0.851352632,0.8300592899,0.7921874523,0.7921874523,0.8300592899,11.41538525,9.558192253,6.769834995,1,6.769834995,9.558192253,0,residual,0.4444444478,0
IRSTD-1K,XDU996,3,1,0,0.7461897135,0.6745554805,0.6635564566,0.6635564566,0.6745554805,1.064916968,1.758246779,2.015393972,1,2.015393972,1.758246779,0,residual,0.4444444478,0
IRSTD-1K,XDU996,4,1,0,0.6948196888,0.4771962166,0.4444883466,0.4444883466,0.4771962166,0.8484752774,0.7396166325,0.6633037925,1,0.6633037925,0.7396166325,0,residual,0.4444444478,0
IRSTD-1K,XDU482,1,1,1,0.5664675236,0.6859838367,0.6859838367,0.6859838367,0.6859838367,7.04891777,11.04172802,11.04172802,nan,11.04172802,11.04172802,nan,stage1,0.5217391253,0
IRSTD-1K,XDU482,2,1,1,0.8399537802,0.8194109201,0.7974645495,0.7974645495,0.8194109201,2.759405851,4.136043072,3.843120575,1,3.843120575,4.136043072,0,residual,0.5217391253,0
IRSTD-1K,XDU482,3,1,0,0.7715584636,0.6553273201,0.6756389737,0.6756389737,0.6553273201,1.696426868,1.665926695,1.77604413,1,1.77604413,1.665926695,0,residual,0.5217391253,0
IRSTD-1K,XDU482,4,1,0,0.6368613243,0.4863180518,0.4891615212,0.4891615212,0.4863180518,1.750805259,1.172065139,1.19952178,1,1.19952178,1.172065139,0,residual,0.5217391253,0
IRSTD-1K,XDU406,1,1,1,0.5608133674,0.6947125793,0.6947125793,0.6947125793,0.6947125793,5.532661438,6.681390285,6.681390285,nan,6.681390285,6.681390285,nan,stage1,0.6399999857,0
IRSTD-1K,XDU406,2,1,1,0.8466358781,0.8219236732,0.7890939116,0.7890939116,0.8219236732,5.19835186,5.140947342,3.812257528,1,3.812257528,5.140947342,0,residual,0.6399999857,0
IRSTD-1K,XDU406,3,1,0,0.7650388479,0.6887026429,0.6875564456,0.6875564456,0.6887026429,1.60752213,1.977538824,1.940623999,1,1.940623999,1.977538824,0,residual,0.6399999857,0
IRSTD-1K,XDU406,4,1,0,0.674184382,0.4608540535,0.4499739707,0.4499739707,0.4608540535,2.475987673,1.30972755,1.262008309,1,1.262008309,1.30972755,0,residual,0.6399999857,0
IRSTD-1K,XDU889,1,1,1,0.5675389767,0.6413332224,0.6413332224,0.6413332224,0.6413332224,2.893921852,12.5284338,12.5284338,nan,12.5284338,12.5284338,nan,stage1,0.5,0
IRSTD-1K,XDU889,2,1,1,0.8377733827,0.8192474842,0.7501160502,0.7501160502,0.8192474842,16.35174561,12.94151402,8.760481834,1,8.760481834,12.94151402,0,residual,0.5,0
IRSTD-1K,XDU889,3,1,0,0.7488102913,0.7280237675,0.7098356485,0.7098356485,0.7280237675,1.960316181,2.585777521,2.596387148,1,2.596387148,2.585777521,0,residual,0.5,0
IRSTD-1K,XDU889,4,1,0,0.8355703354,0.7284472585,0.7160337567,0.7160337567,0.7284472585,4.624427319,2.339679003,2.19720149,1,2.19720149,2.339679003,0,residual,0.5,0
IRSTD-1K,XDU558,1,1,1,0.591932714,0.6742948294,0.6742948294,0.6742948294,0.6742948294,3.23324728,10.96975517,10.96975517,nan,10.96975517,10.96975517,nan,stage1,0.2857142985,0
IRSTD-1K,XDU558,2,1,1,0.8389558792,0.8237294555,0.7618319988,0.7618319988,0.8237294555,11.50198174,9.052404404,6.187037945,1,6.187037945,9.052404404,0,residual,0.2857142985,0
IRSTD-1K,XDU558,3,1,0,0.7298343182,0.6878349185,0.7020151615,0.7020151615,0.6878349185,1.214885473,2.149927139,2.46849966,1,2.46849966,2.149927139,0,residual,0.2857142985,0
IRSTD-1K,XDU558,4,1,0,0.6972206831,0.6276138425,0.5897613168,0.5897613168,0.6276138425,1.418195367,1.137330174,1.089703918,1,1.089703918,1.137330174,0,residual,0.2857142985,0
IRSTD-1K,XDU117,1,1,1,0.5839710832,0.6725379229,0.6725379229,0.6725379229,0.6725379229,4.38607645,10.19332123,10.19332123,nan,10.19332123,10.19332123,nan,stage1,0.5882353187,0
IRSTD-1K,XDU117,2,1,1,0.8377845883,0.8196736574,0.7792084217,0.7792084217,0.8196736574,19.69928741,13.74008656,10.27106857,1,10.27106857,13.74008656,0,residual,0.5882353187,0
IRSTD-1K,XDU117,3,1,0,0.7252586484,0.7051468492,0.7181298733,0.7181298733,0.7051468492,3.060969114,4.452368259,4.927045345,1,4.927045345,4.452368259,0,residual,0.5882353187,0
IRSTD-1K,XDU117,4,1,0,0.6582304835,0.4625695348,0.4420945048,0.4420945048,0.4625695348,1.379242301,1.130219579,1.02180481,1,1.02180481,1.130219579,0,residual,0.5882353187,0
IRSTD-1K,XDU777,1,1,1,0.6169695854,0.711473763,0.711473763,0.711473763,0.711473763,4.253724098,7.67777729,7.67777729,nan,7.67777729,7.67777729,nan,stage1,0.6000000238,0
IRSTD-1K,XDU777,2,1,1,0.7693637609,0.7369087338,0.7401273847,0.7401273847,0.7369087338,1.856039882,2.777865887,3.483845472,1,3.483845472,2.777865887,0,residual,0.6000000238,0
IRSTD-1K,XDU777,3,1,0,0.7476524711,0.5960559845,0.5830418468,0.5830418468,0.5960559845,1.684211493,1.576390624,1.692551136,1,1.692551136,1.576390624,0,residual,0.6000000238,0
IRSTD-1K,XDU777,4,1,0,0.6478865743,0.4940857887,0.5050702691,0.5050702691,0.4940857887,0.7376432419,0.8922580481,0.8421033025,1,0.8421033025,0.8922580481,0,residual,0.6000000238,0
IRSTD-1K,XDU134,1,1,1,0.5868420601,0.6778046489,0.6778046489,0.6778046489,0.6778046489,12.16040611,21.22690964,21.22690964,nan,21.22690964,21.22690964,nan,stage1,0.400000006,0
IRSTD-1K,XDU134,2,1,1,0.8398017883,0.8222387433,0.7843785286,0.7843785286,0.8222387433,10.73655987,11.88410854,7.567844391,1,7.567844391,11.88410854,0,residual,0.400000006,0
IRSTD-1K,XDU134,3,1,0,0.7930994034,0.8009541631,0.8035333157,0.8035333157,0.8009541631,0.4315819144,1.886681199,1.872320771,1,1.872320771,1.886681199,0,residual,0.400000006,0
IRSTD-1K,XDU134,4,1,0,0.7270812988,0.5979776978,0.5659680367,0.5659680367,0.5979776978,1.198957801,0.9402279258,0.9370924234,1,0.9370924234,0.9402279258,0,residual,0.400000006,0
IRSTD-1K,XDU223,1,1,1,0.5756648183,0.6794114113,0.6794114113,0.6794114113,0.6794114113,6.277022839,13.49507141,13.49507141,nan,13.49507141,13.49507141,nan,stage1,0.6170212626,0
IRSTD-1K,XDU223,2,1,1,0.8164554834,0.800349772,0.7559735179,0.7559735179,0.800349772,11.662817,9.678157806,6.147881031,1,6.147881031,9.678157806,0,residual,0.6170212626,0
IRSTD-1K,XDU223,3,1,0,0.8373184204,0.8208325505,0.8046978116,0.8046978116,0.8208325505,4.002604008,4.019696236,3.85631752,1,3.85631752,4.019696236,0,residual,0.6170212626,0
IRSTD-1K,XDU223,4,1,0,0.8337792754,0.7807608247,0.7819930315,0.7819930315,0.7807608247,4.489901066,2.843652248,2.830902338,1,2.830902338,2.843652248,0,residual,0.6170212626,0
IRSTD-1K,XDU943,1,1,1,0.5983546376,0.6859337687,0.6859337687,0.6859337687,0.6859337687,2.338243246,7.006947041,7.006947041,nan,7.006947041,7.006947041,nan,stage1,0.3636363745,0
IRSTD-1K,XDU943,2,1,1,0.8243861794,0.7852184176,0.7576611638,0.7576611638,0.7852184176,10.5288353,7.352324963,6.859262466,1,6.859262466,7.352324963,0,residual,0.3636363745,0
IRSTD-1K,XDU943,3,1,0,0.8106765747,0.7525690794,0.7640914321,0.7640914321,0.7525690794,1.854067683,1.957071185,1.925055504,1,1.925055504,1.957071185,0,residual,0.3636363745,0
IRSTD-1K,XDU943,4,1,0,0.6709729433,0.4965047538,0.477460593,0.477460593,0.4965047538,1.345346928,1.061209917,1.053478718,1,1.053478718,1.061209917,0,residual,0.3636363745,0
IRSTD-1K,XDU762,1,1,1,0.5261532068,0.6286296844,0.6286296844,0.6286296844,0.6286296844,7.703815937,15.64962292,15.64962292,nan,15.64962292,15.64962292,nan,stage1,0.5185185075,0
IRSTD-1K,XDU762,2,1,1,0.8353551626,0.8109486699,0.7901169658,0.7901169658,0.8109486699,8.974391937,9.160936356,6.364401817,1,6.364401817,9.160936356,0,residual,0.5185185075,0
IRSTD-1K,XDU762,3,1,0,0.7786030173,0.7437754869,0.7372848392,0.7372848392,0.7437754869,2.055288792,2.619726658,2.709159374,1,2.709159374,2.619726658,0,residual,0.5185185075,0
IRSTD-1K,XDU762,4,1,0,0.7271876931,0.5410955548,0.5105409622,0.5105409622,0.5410955548,1.488693476,0.8105937243,0.8982263207,1,0.8982263207,0.8105937243,0,residual,0.5185185075,0
IRSTD-1K,XDU662,1,1,1,0.5674013495,0.6783633828,0.6783633828,0.6783633828,0.6783633828,8.754484177,15.49306679,15.49306679,nan,15.49306679,15.49306679,nan,stage1,0.5,0
IRSTD-1K,XDU662,2,1,1,0.8167288303,0.79668051,0.7551567554,0.7551567554,0.79668051,4.965346336,6.193541527,7.701777935,1,7.701777935,6.193541527,0,residual,0.5,0
