dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_397,4,1,0,0.6910313964,0.6505436897,0.6638515592,0.6638515592,0.6505436897,0.9965223074,0.9537647963,1.272059798,1,1.272059798,0.9537647963,0,residual,0.6956521869,0
NUAA-SIRST,Misc_164,1,1,1,0.4943672717,0.6298052669,0.6298052669,0.6298052669,0.6298052669,2.067804813,9.382692337,9.382692337,nan,9.382692337,9.382692337,nan,stage1,0.6666666865,0
NUAA-SIRST,Misc_164,2,1,1,0.7935406566,0.7704175711,0.7963026166,0.7963026166,0.7704175711,2.930570126,2.750478983,6.051230431,1,6.051230431,2.750478983,0,residual,0.6666666865,0
NUAA-SIRST,Misc_164,3,1,0,0.2966292202,0.3402813375,0.3998993635,0.3998993635,0.3402813375,1.095101953,0.9810019135,1.002402663,1,1.002402663,0.9810019135,0,residual,0.6666666865,0
NUAA-SIRST,Misc_164,4,1,0,0.4715844989,0.4321322739,0.3999561369,0.3999561369,0.4321322739,0.8636217117,0.9038365483,0.922865808,1,0.922865808,0.9038365483,0,residual,0.6666666865,0
NUAA-SIRST,Misc_300,1,1,1,0.5583392978,0.5992971659,0.5992971659,0.5992971659,0.5992971659,1.595416665,11.93892384,11.93892384,nan,11.93892384,11.93892384,nan,stage1,0.8307692409,0
NUAA-SIRST,Misc_300,2,1,1,0.8300464749,0.812821269,0.7638152242,0.7638152242,0.812821269,3.569636583,3.241544962,5.518854141,1,5.518854141,3.241544962,0,residual,0.8307692409,0
NUAA-SIRST,Misc_300,3,1,0,0.5871623158,0.5726975799,0.5394986272,0.5394986272,0.5726975799,1.406052113,1.166398048,1.428943872,1,1.428943872,1.166398048,0,residual,0.8307692409,0
NUAA-SIRST,Misc_300,4,1,0,0.655790627,0.5212923884,0.4858033061,0.4858033061,0.5212923884,1.447152376,1.128055573,1.134184837,1,1.134184837,1.128055573,0,residual,0.8307692409,0
NUAA-SIRST,Misc_297,1,1,1,0.535497427,0.6758444905,0.6758444905,0.6758444905,0.6758444905,2.754442215,11.98462772,11.98462772,nan,11.98462772,11.98462772,nan,stage1,0.875,0
NUAA-SIRST,Misc_297,2,1,1,0.8387023211,0.831530571,0.7737246156,0.7737246156,0.831530571,4.806559086,4.563587189,5.713102818,1,5.713102818,4.563587189,0,residual,0.875,0
NUAA-SIRST,Misc_297,3,1,0,0.613383472,0.6465901136,0.6186874509,0.6186874509,0.6465901136,0.5303247571,0.7130695581,1.157518744,1,1.157518744,0.7130695581,0,residual,0.875,0
NUAA-SIRST,Misc_297,4,1,0,0.7275366783,0.635274291,0.5809224248,0.5809224248,0.635274291,0.5121273398,0.706735611,0.8711314201,1,0.8711314201,0.706735611,0,residual,0.875,0
NUAA-SIRST,Misc_414,1,1,1,0.5212292671,0.6287737489,0.6287737489,0.6287737489,0.6287737489,2.581371069,9.021225929,9.021225929,nan,9.021225929,9.021225929,nan,stage1,0.802631557,0
NUAA-SIRST,Misc_414,2,1,1,0.8344008327,0.8155469298,0.7112963796,0.7112963796,0.8155469298,2.62623167,3.010224581,3.267848492,1,3.267848492,3.010224581,0,residual,0.802631557,0
NUAA-SIRST,Misc_414,3,1,0,0.7130465508,0.6776155233,0.6396268606,0.6396268606,0.6776155233,1.138624787,0.9839840531,1.017175555,1,1.017175555,0.9839840531,0,residual,0.802631557,0
NUAA-SIRST,Misc_414,4,1,0,0.7868285179,0.7072879076,0.6535910368,0.6535910368,0.7072879076,0.7819623351,0.9912031889,1.163817525,1,1.163817525,0.9912031889,0,residual,0.802631557,0
