dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
IRSTD-1K,1,201,1,0,1,0,0.5806871045,0.03495238178,0.6767905891,0.02874035692,0.6767905891,0.02874035692,0.6767905891,0.02874035692,0.6767905891,0.02874035692,5.089489019,2.909097449,15.63622104,13.33802681,15.63622104,13.33802681,nan,nan,15.63622104,13.33802681,15.63622104,13.33802681,nan,nan,0.5570840154,0.2229210452,0.08955223881
IRSTD-1K,2,201,1,0,1,0,0.8259155359,0.0231392227,0.8041185102,0.02694380541,0.7650880837,0.02864129209,0.7650880837,0.02864129209,0.8041185102,0.02694380541,9.852569691,5.346703482,8.458600281,4.120477536,7.112345962,2.668714191,1.000000001,8.40826987e-09,7.112345962,2.668714191,8.458600281,4.120477536,2.980232239e-10,4.204134935e-09,0.5570840154,0.2229210452,0.08955223881
IRSTD-1K,3,201,1,0,0,0,0.7277262365,0.05769112932,0.6933663876,0.05854637848,0.6942434738,0.05605509541,0.6942434738,0.05605509541,0.6933663876,0.05854637848,1.797094522,0.9326136252,2.405694183,0.9602164673,2.452133338,0.9156009296,1.000000001,8.40826987e-09,2.452133338,0.9156009296,2.405694183,0.9602164673,2.980232239e-10,4.204134935e-09,0.5570840154,0.2229210452,0.08955223881
IRSTD-1K,4,201,1,0,0,0,0.6965047133,0.05683034209,0.5549480879,0.08195499205,0.5354966248,0.08123204327,0.5354966248,0.08123204327,0.5549480879,0.08195499205,1.769804465,1.044329966,1.253719503,0.4902151706,1.239606465,0.4551381841,1,0,1.239606465,0.4551381841,1.253719503,0.4902151706,0,0,0.5570840154,0.2229210452,0.08955223881
