dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUDT-SIRST,1,664,1,0,1,0,0.5745833633,0.04530559491,0.6659147579,0.05983493179,0.6659147579,0.05983493179,0.6659147579,0.05983493179,0.6659147579,0.05983493179,2.619824968,1.31632637,6.324521455,3.367384556,6.324521455,3.367384556,nan,nan,6.324521455,3.367384556,6.324521455,3.367384556,nan,nan,0.8713020422,0.1802599193,0.06174698795
NUDT-SIRST,2,664,1,0,1,0,0.807121065,0.03604698705,0.7761451308,0.03466485304,0.7223168817,0.0376703883,0.7223168817,0.0376703883,0.7761451308,0.03466485304,4.614409124,1.619904426,3.683220116,1.195599423,3.131277449,0.7424706835,1.000000001,1.300585577e-08,3.131277449,0.7424706835,3.683220116,1.195599423,7.181282503e-10,6.502927885e-09,0.8713020422,0.1802599193,0.06174698795
NUDT-SIRST,3,664,1,0,0,0,0.6808620881,0.06002131119,0.566046379,0.06164977064,0.6061627971,0.04497597693,0.6061627971,0.04497597693,0.566046379,0.06164977064,1.08057774,0.4040790443,1.024979064,0.1566468784,1.143346419,0.2334817865,1,0,1.143346419,0.2334817865,1.024979064,0.1566468784,0,0,0.8713020422,0.1802599193,0.06174698795
NUDT-SIRST,4,664,1,0,0,0,0.6115622132,0.1401107589,0.5312234258,0.07588414564,0.5166649769,0.06211933348,0.5166649769,0.06211933348,0.5312234258,0.07588414564,1.013801919,0.2749243334,0.9749293029,0.1467106472,0.9679297355,0.1468366383,1.000000001,7.994722199e-09,0.9679297355,0.1468366383,0.9749293029,0.1467106472,2.692980939e-10,3.9973611e-09,0.8713020422,0.1802599193,0.06174698795
