dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUDT-SIRST,000874,4,1,0,0.5746328831,0.5237198472,0.425573051,0.4038280547,1.475939155,1.59839642,1.382139206,0.9918261766,1.317811728,-0.003822892904,0.8072289228,0
NUDT-SIRST,000713,1,1,1,0.5632817149,0.6139680147,0.6139680147,0.6139680147,3.45900321,6.270828724,6.270828724,nan,6.270828724,nan,0.946428597,0
NUDT-SIRST,000713,2,1,1,0.807120502,0.7530846596,0.7514697313,0.7598002553,2.338477373,2.433621883,2.566348791,1.207631826,2.7130301,0.1179124713,0.946428597,0
NUDT-SIRST,000713,3,1,0,0.7012739182,0.7659419775,0.7628659606,0.7469060421,1.410189152,2.645078897,2.894226074,1.012215376,2.656902552,0.007193624973,0.946428597,0
NUDT-SIRST,000713,4,1,0,0.6327579021,0.5777326226,0.5813963413,0.5914660692,1.371822953,1.267351627,1.292005062,1.150354862,1.339123845,0.09914344549,0.946428597,0
NUDT-SIRST,001244,1,1,1,0.6765287519,0.7144583464,0.7144583464,0.7144583464,2.812492371,16.08420944,16.08420944,nan,16.08420944,nan,1,0
NUDT-SIRST,001244,2,1,1,0.7021338344,0.7074569464,0.7100613117,0.6975346208,3.243387222,3.491214275,3.596971273,1.023182869,3.409232378,0.01443630457,1,0
NUDT-SIRST,001244,3,1,0,0.549628675,0.633022666,0.6492929459,0.6404298544,1.137017608,2.003805399,2.484212637,1.252507687,2.527880669,0.1344816685,1,0
NUDT-SIRST,001244,4,1,0,0.7533854246,0.5478363633,0.5722760558,0.6286468506,0.2909365296,0.8957006335,0.8754578233,1.029804707,0.8548980951,0.01425912976,1,0
NUDT-SIRST,000589,1,1,1,0.6507769227,0.7878844738,0.7878844738,0.7878844738,2.526976347,2.447866201,2.447866201,nan,2.447866201,nan,0.6727272868,0
NUDT-SIRST,000589,2,1,1,0.9154781699,0.8870902061,0.8835034966,0.8819112182,1.064692259,1.551283002,1.717546105,1.178610563,1.714509487,0.08305123448,0.6727272868,0
NUDT-SIRST,000589,3,1,0,0.6600353718,0.6886063814,0.6962351799,0.6774069071,0.9755475521,1.420844436,1.626368046,1.111213803,1.493691444,0.05778980255,0.6727272868,0
NUDT-SIRST,000589,4,1,0,0.7498837113,0.6543411016,0.620301187,0.6325885653,0.5361806154,0.7840002179,0.8122025728,1.045042515,0.8246029615,0.02186077833,0.6727272868,0
NUDT-SIRST,001144,1,1,1,0.6495947838,0.7747525573,0.7747525573,0.7747525573,3.017767191,5.980045319,5.980045319,nan,5.980045319,nan,1,0
NUDT-SIRST,001144,2,1,1,0.7853966951,0.767213285,0.7628296614,0.7634184361,2.862716675,3.268584967,3.729240894,1.101824641,3.687302113,0.06337505579,1,0
NUDT-SIRST,001144,3,1,0,0.6077560782,0.7047182322,0.6783427,0.6477436423,1.450694799,3.059196472,3.022223473,1.009624004,2.569429398,0.005360543728,1,0
NUDT-SIRST,001144,4,1,0,0.6880208254,0.4048050344,0.404517591,0.4339823127,2.783200026,1.111137509,1.211217165,1.654214144,1.466271162,0.292802453,1,0
NUDT-SIRST,001213,1,1,1,0.5958555341,0.6630502939,0.6630502939,0.6630502939,2.736052513,11.28260326,11.28260326,nan,11.28260326,nan,1,0
NUDT-SIRST,001213,2,1,1,0.7639535666,0.7310435176,0.7230077386,0.7200275064,3.128611088,2.966156006,3.120951414,1.052440763,3.012285709,0.03200304508,1,0
NUDT-SIRST,001213,3,1,0,0.5509296656,0.7067993283,0.6979051828,0.688563168,1.256153107,2.625907183,3.144019842,1.130459666,3.001540422,0.07382833958,1,0
NUDT-SIRST,001213,4,1,0,0.7228211761,0.5484831929,0.5404567122,0.5757426023,1.293755054,0.9318412542,0.9462605119,1.478384018,1.083630323,0.2291690409,1,0
NUDT-SIRST,000689,1,1,1,0.5727866888,0.6551610827,0.6551610827,0.6551610827,3.74976778,4.919250011,4.919250011,nan,4.919250011,nan,0.9166666865,0
NUDT-SIRST,000689,2,1,1,0.8378264904,0.7959533334,0.7936974764,0.7986703515,3.023520708,3.068555832,3.132889986,1.27156651,3.294984102,0.1445484757,0.9166666865,0
NUDT-SIRST,000689,3,1,0,0.7525809407,0.7623287439,0.7571184039,0.7469827533,1.018980861,2.389288902,2.705332518,1.099639416,2.378573179,0.05619418621,0.9166666865,0
NUDT-SIRST,000689,4,1,0,0.7347020507,0.6904343963,0.6913021803,0.6988990307,1.46652317,1.530981064,1.525417686,1.068802595,1.54448247,0.0485842824,0.9166666865,0
