dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
IRSTD-1K,1,201,1,0,1,0,0.5664463958,0.03509489832,0.6790963542,0.03066839361,0.7389256459,0.04071673649,0.7389256459,0.04071673649,4.382354912,2.469975697,15.117761,14.02690698,5.487996041,3.582318635,nan,nan,5.487996041,3.582318635,nan,nan,0.5391807367,0.2383230412,0.07960199005
IRSTD-1K,2,201,1,0,1,0,0.7847283815,0.03372647843,0.7590820205,0.0380561702,0.7173932242,0.04675783274,0.70215472,0.05055741528,2.137936094,0.988356743,3.259412627,1.444209795,3.126749315,1.309888416,0.9812997141,0.0494071031,2.692869745,1.061324216,-0.01378887683,0.0348749647,0.5391807367,0.2383230412,0.07960199005
IRSTD-1K,3,201,1,0,0,0,0.6768265931,0.07615849481,0.6797350919,0.074505839,0.603423842,0.08805462183,0.5925259165,0.09592732405,0.7852899609,0.8780121442,1.466800379,1.240282291,1.388072753,0.7534318784,0.792653046,0.09268884701,1.14603931,0.7039842232,-0.1254587699,0.0613303871,0.5391807367,0.2383230412,0.07960199005
IRSTD-1K,4,201,1,0,0,0,0.6157031695,0.09537983046,0.6176007937,0.09279992863,0.5029661211,0.08683468248,0.4970394402,0.08948718901,1.002156223,0.4113930091,1.052559451,0.6709841043,0.9830466317,0.4026975284,0.9869183153,0.09365008042,0.9805864003,0.3797396911,-0.006351766139,0.04804420194,0.5391807367,0.2383230412,0.07960199005
