dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_368,4,1,0,0.4204888344,0.3728439808,0.186374858,0.1878964752,1.02049315,1.013115168,1.007898092,0.9964918494,1.011669993,-0.001721441746,0.8636363745,0
NUAA-SIRST,Misc_34,1,1,1,0.5203080773,0.549315691,0.6914221644,0.6914221644,2.950800657,12.77628994,5.71292448,nan,5.71292448,nan,0.8000000119,0
NUAA-SIRST,Misc_34,2,1,1,0.7745844126,0.7700791955,0.6825000048,0.6813181639,3.354099512,4.458577156,4.514918327,1.128033042,4.223852158,0.07812124491,0.8000000119,0
NUAA-SIRST,Misc_34,3,1,0,0.6885681748,0.5957517028,0.4786388874,0.5259931684,0.3320143819,0.877561152,0.9977287054,1.213779688,1.087557316,0.1130194068,0.8000000119,0
NUAA-SIRST,Misc_34,4,1,0,0.1629780233,0.6239674687,0.5034511685,0.4694749713,1.064489722,0.7618405819,1.060728431,1.007543683,1.024900794,0.003033608198,0.8000000119,0
NUAA-SIRST,Misc_248,1,1,1,0.4374974966,0.6052803397,0.7005239725,0.7005239725,3.795823336,23.22369576,8.924129486,nan,8.924129486,nan,0.8103448153,0
NUAA-SIRST,Misc_248,2,1,1,0.7977377176,0.7763442397,0.6896221638,0.684903264,5.835400581,7.167406082,5.669418335,1.074317694,5.238316059,0.04623299837,0.8103448153,0
NUAA-SIRST,Misc_248,3,1,0,0.6130901575,0.701053977,0.7098248601,0.7131573558,0.4653885067,1.915760636,1.893694997,1.143521667,1.777335525,0.0741686821,0.8103448153,0
NUAA-SIRST,Misc_248,4,1,0,0.1584556103,0.6071817279,0.4829019904,0.4371526837,1.045759201,0.7287834883,1.200902224,1.002294779,1.168750286,0.0009261667728,0.8103448153,0
NUAA-SIRST,Misc_303,1,1,1,0.4654628932,0.5534411669,0.6806879044,0.6806879044,6.46416378,43.3944931,9.857744217,nan,9.857744217,nan,0.8111110926,0
NUAA-SIRST,Misc_303,2,1,1,0.6614848375,0.7422930598,0.6573492289,0.663834095,1.892452002,3.40079546,4.648439884,1.249720454,4.470095158,0.1338386536,0.8111110926,0
NUAA-SIRST,Misc_303,3,1,0,0.6998408437,0.8135386109,0.7977308631,0.784442544,0.6293070912,2.246018171,2.040284157,0.9997342825,1.870389819,-0.0001568198204,0.8111110926,0
