dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUDT-SIRST,001151,2,1,1,0.7032985687,0.695166707,0.723207891,0.7022525072,2.597084045,2.731383324,4.276597023,1.126739383,3.6139853,0.07466447353,1,0
NUDT-SIRST,001151,3,1,0,0.5195168257,0.3291738629,0.4435417056,0.4267535508,1.081181645,0.8643872142,1.083030462,1.018127918,1.108749866,0.008132040501,1,0
NUDT-SIRST,001151,4,1,0,0.6530364156,0.6102238894,0.5953162313,0.5974664092,1.270718455,1.119431973,0.9793795347,1.01851511,0.9576708078,0.01032757759,1,0
NUDT-SIRST,000426,1,1,1,0.5896438956,0.6597245336,0.7421989441,0.7421989441,2.747635365,5.180399418,3.984464407,nan,3.984464407,nan,0.9315068722,0
NUDT-SIRST,000426,2,1,1,0.8243547678,0.810144484,0.7519616485,0.7525306344,2.591432333,3.14352417,3.721339941,1.175756097,3.737742424,0.1120485067,0.9315068722,0
NUDT-SIRST,000426,3,1,0,0.7389737964,0.7320657372,0.6236025691,0.5963354707,0.7777675986,1.794819951,1.61631465,0.9174519777,1.431126118,-0.04586219788,0.9315068722,0
NUDT-SIRST,000426,4,1,0,0.7349666357,0.591411829,0.454169631,0.4298051596,1.422846079,1.535787225,0.927903533,1.132761836,0.9603738189,0.07720559835,0.9315068722,0
NUDT-SIRST,000908,1,1,1,0.5358944535,0.6181824803,0.7133404613,0.7133404613,2.392175198,3.766096592,2.590304852,nan,2.590304852,nan,0.6036036015,1
NUDT-SIRST,000908,2,1,1,0.823982358,0.7750189304,0.7174451947,0.7250507474,2.341331005,2.67121768,3.161317348,1.2500875,3.057039976,0.1545042992,0.6036036015,1
NUDT-SIRST,000908,3,1,0,0.6865624785,0.6453105807,0.693131566,0.6882468462,0.8646079302,1.319252849,2.013010263,1.011282682,1.948210239,0.006342291832,0.6036036015,1
NUDT-SIRST,000908,4,1,0,0.6004713774,0.5231716633,0.423504591,0.4110304415,0.6746629477,0.8545961976,1.057631373,1.074014783,1.064629912,0.04324001074,0.6036036015,1
NUDT-SIRST,000286,1,1,1,0.5531198978,0.6488078833,0.6945049763,0.6945049763,2.984731436,8.417751312,6.639659882,nan,6.639659882,nan,0.9298245907,0
NUDT-SIRST,000286,2,1,1,0.8043482304,0.7689749002,0.6963906288,0.7091237307,3.029791355,3.449219704,4.543272972,1.190011024,4.528154373,0.119699657,0.9298245907,0
NUDT-SIRST,000286,3,1,0,0.7268025279,0.7278827429,0.8014143705,0.8067085743,0.8364049792,1.665364027,2.635403872,1.070786357,2.688780785,0.03602105379,0.9298245907,0
