dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
IRSTD-1K,1,201,1,0,1,0,0.57707272,0.03366949508,0.6771864414,0.03057918257,0.6771864414,0.03057918257,0.6771864414,0.03057918257,4.879686255,2.889175359,14.86420234,13.51156667,14.86420234,13.51156667,nan,nan,14.86420234,13.51156667,nan,nan,0.5440046643,0.2351300654,0.07462686567
IRSTD-1K,2,201,1,0,1,0,0.7969380635,0.0455276263,0.7788929907,0.04239966599,0.785316676,0.03749507557,0.7842435979,0.03794872168,2.209388336,0.8840735506,3.077253163,1.235402834,3.893056731,1.524248495,1.24128726,0.1134810251,3.916281803,1.494379771,0.12625594,0.0570016672,0.5440046643,0.2351300654,0.07462686567
IRSTD-1K,3,201,1,0,0,0,0.7102713072,0.03827205246,0.704823942,0.03737762039,0.714398162,0.04086357825,0.7077771929,0.03523833242,0.9615201043,0.4638458471,1.957681921,0.6118196779,2.285816368,0.7841718178,1.04070911,0.1173904737,2.135875391,0.6493889404,0.01872789368,0.05812221002,0.5440046643,0.2351300654,0.07462686567
IRSTD-1K,4,201,1,0,0,0,0.6278053632,0.1034793077,0.6289713716,0.05640117968,0.6213624123,0.0594258263,0.6119289628,0.05745162139,0.6507433105,0.3000273453,0.8635540624,0.3346691001,0.8650246504,0.3259638155,1.022410756,0.07616267491,0.833805571,0.292982427,0.01263590619,0.04461425121,0.5440046643,0.2351300654,0.07462686567
