dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUDT-SIRST,1,664,1,0,1,0,0.5795526517,0.04102660638,0.6652964087,0.05854824468,0.7356205953,0.06165010717,0.7356205953,0.06165010717,3.139058549,1.644446457,6.875155056,3.640170643,4.499073813,2.411808425,nan,nan,4.499073813,2.411808425,nan,nan,0.8826766841,0.1553273144,0.02710843373
NUDT-SIRST,2,664,1,0,1,0,0.8147773344,0.03985910486,0.7885737162,0.03787992677,0.7406286314,0.04714403238,0.7417858976,0.04552849487,2.956272385,1.37279223,3.43511987,1.214013689,4.519336379,1.449472728,1.231920253,0.08730379099,4.254212819,1.357989516,0.1377176757,0.04949967777,0.8826766841,0.1553273144,0.02710843373
NUDT-SIRST,3,664,1,0,0,0,0.6481517127,0.08380084486,0.6487920871,0.08813402067,0.6667861452,0.1047731203,0.6498134769,0.1222866017,0.7756786421,0.1824369522,1.244065741,0.470924861,1.989698785,0.9508438234,0.9878832236,0.07869416972,1.90589324,0.9788918109,-0.00900185768,0.04317166653,0.8826766841,0.1553273144,0.02710843373
NUDT-SIRST,4,664,1,0,0,0,0.5265900349,0.1922018341,0.5245679637,0.1387339824,0.5116072013,0.1268128847,0.4782210856,0.1143694896,0.9079654802,0.2759972406,1.115368628,0.3002500919,1.133062499,0.3488119262,1.020209218,0.07410470869,1.064095264,0.21214463,0.0111742451,0.0412699877,0.8826766841,0.1553273144,0.02710843373
