dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUAA-SIRST,1,214,1,0,1,0,0.523636184,0.06587941474,0.6296836004,0.04595547376,0.7040267019,0.04735362117,0.7040267019,0.04735362117,2.937548945,1.522329837,17.76722867,12.88603058,6.727577162,3.589848113,nan,nan,6.727577162,3.589848113,nan,nan,0.7126668116,0.1652512051,0.06542056075
NUAA-SIRST,2,214,1,0,1,0,0.7759828353,0.04591364887,0.7661747927,0.04054986052,0.6962738866,0.04478855217,0.6990571071,0.04670210628,3.486596782,1.564709908,4.167935677,1.59622649,4.13386177,1.401777885,1.110096278,0.09080120988,4.061656954,1.388957017,0.06455732478,0.05007596907,0.7126668116,0.1652512051,0.06542056075
NUAA-SIRST,3,214,1,0,0,0,0.6673749407,0.06398532831,0.6486827911,0.105128958,0.5788342716,0.1366439209,0.5903440261,0.1262359916,0.6372086768,0.2189271217,1.600009724,0.7181182802,1.523729692,0.7050926761,1.043975086,0.05543935404,1.476157853,0.597076649,0.02394448374,0.02969352026,0.7126668116,0.1652512051,0.06542056075
NUAA-SIRST,4,214,1,0,0,0,0.3676692016,0.1413233127,0.4808581776,0.1101055705,0.3473271276,0.1750681262,0.3207290925,0.1377908656,0.9263301811,0.157268694,1.150476305,0.4672847523,1.138322741,0.4657589767,0.9965415477,0.03852196527,1.068614846,0.2606561745,-0.00177577514,0.01743813595,0.7126668116,0.1652512051,0.06542056075
