dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU596,2,1,1,0.8235091567,0.8081400394,0.7651245594,0.74969244,1.163715363,1.509565353,1.393395782,1.048736095,1.344254971,0.03133320808,0.3000000119,0
IRSTD-1K,XDU596,3,1,0,0.6004299521,0.5862548947,0.5049142241,0.4911291301,1.346856117,1.312706232,1.151013494,0.9574506879,1.154658437,-0.01893895864,0.3000000119,0
IRSTD-1K,XDU596,4,1,0,0.2916513383,0.5405128598,0.4672369361,0.4619403481,1.020066619,0.8732661605,0.9212362766,0.9927651286,0.9227878451,-0.003039360046,0.3000000119,0
IRSTD-1K,XDU97,1,1,1,0.5574367046,0.6900675893,0.7729773521,0.7729773521,3.042861462,5.85351181,2.115489483,nan,2.115489483,nan,0.8461538553,0
IRSTD-1K,XDU97,2,1,1,0.7889784575,0.7646932602,0.6939173341,0.6778196692,1.303996325,2.011440754,1.356752396,0.9731602073,1.197655559,-0.01868879795,0.8461538553,0
IRSTD-1K,XDU97,3,1,0,0.6268448234,0.6200580597,0.5524272919,0.5449365377,0.249104172,0.3692131937,0.6891616583,0.9079678059,0.5355697274,-0.05302256346,0.8461538553,0
IRSTD-1K,XDU97,4,1,0,0.6361004114,0.5602724552,0.4732207656,0.4677053392,0.4905872345,0.3872171044,0.4917680025,1.173006535,0.510586977,0.08398237824,0.8461538553,0
IRSTD-1K,XDU321,1,1,1,0.5936264396,0.6799829006,0.7254471779,0.7254471779,2.236778259,12.55082417,4.780244827,nan,4.780244827,nan,0.6666666865,0
IRSTD-1K,XDU321,2,1,1,0.826513648,0.8045695424,0.7230504751,0.6982581019,1.790507197,2.53799057,2.625113726,0.9477955103,2.239460707,-0.03854691982,0.6666666865,0
IRSTD-1K,XDU321,3,1,0,0.6576048732,0.6623402238,0.5731206536,0.5729963183,0.3247809112,0.4864883125,0.8198494315,0.7401796579,0.5774193406,-0.1613097191,0.6666666865,0
IRSTD-1K,XDU321,4,1,0,0.7059428692,0.6725106835,0.5849300027,0.5804240108,1.024177194,0.8022239804,0.7889626026,1.011898041,0.797426641,0.006243646145,0.6666666865,0
IRSTD-1K,XDU279,1,1,1,0.5700145364,0.698628366,0.7710641623,0.7710641623,3.989756823,13.23789883,5.448905945,nan,5.448905945,nan,0.6923077106,0
IRSTD-1K,XDU279,2,1,1,0.8254742026,0.7993167043,0.7728337049,0.7687410712,3.069734812,4.259766579,2.553054571,0.9683503509,2.222275496,-0.02308666706,0.6923077106,0
IRSTD-1K,XDU279,3,1,0,0.7852425575,0.7623330951,0.6903566718,0.6806451082,0.4846768677,0.8506584167,1.037907124,0.7522855401,0.7197446823,-0.1522524357,0.6923077106,0
IRSTD-1K,XDU279,4,1,0,0.6689671874,0.6641360521,0.5131763816,0.5130172968,0.5567213297,0.6712673306,0.7556666136,1.151301622,0.7578158379,0.07493168116,0.6923077106,0
IRSTD-1K,XDU93,1,1,1,0.5758779049,0.6712286472,0.7368711829,0.7368711829,8.507766724,13.82232666,5.700175762,nan,5.700175762,nan,0.7037037015,0
IRSTD-1K,XDU93,2,1,1,0.8049607277,0.7861408591,0.7873393893,0.7838512063,1.010529637,3.763160229,4.966071129,0.9653072357,4.376304626,-0.02443635464,0.7037037015,0
IRSTD-1K,XDU93,3,1,0,0.6631388664,0.6681594849,0.5978616476,0.5883099437,0.132968992,0.6694504619,0.9775578976,0.8363105059,0.8589033484,-0.08319061995,0.7037037015,0
IRSTD-1K,XDU93,4,1,0,0.536931932,0.6551408768,0.5831255317,0.5787818432,1.079163194,1.427488446,1.309422493,0.9632777572,1.29091239,-0.01588565111,0.7037037015,0
IRSTD-1K,XDU205,1,1,1,0.5985630155,0.7113743424,0.7078766227,0.7078766227,5.275185108,19.53561401,6.317601681,nan,6.317601681,nan,0.5,0
IRSTD-1K,XDU205,2,1,1,0.79665488,0.7720873356,0.7577545643,0.7361895442,4.96317482,6.658429623,4.453379154,0.9228335023,3.706236362,-0.05680257082,0.5,0
IRSTD-1K,XDU205,3,1,0,0.8234156966,0.8105503321,0.7031418085,0.6991827488,0.4766262472,1.742904425,1.418337107,0.656530261,0.9860624671,-0.2225342393,0.5,0
IRSTD-1K,XDU205,4,1,0,0.7491679788,0.735835731,0.5222028494,0.5290322304,2.171804667,1.902106166,1.292515516,0.8091412187,1.283155441,-0.1036351919,0.5,0
IRSTD-1K,XDU9,1,1,1,0.5751559734,0.692630291,0.7785157561,0.7785157561,1.134475112,2.04681468,1.245408058,nan,1.245408058,nan,0,0
IRSTD-1K,XDU9,2,1,1,0.8096496463,0.7799032331,0.7729488611,0.7620659471,1.469576359,1.376306653,1.134446025,0.8897772431,1.079386711,-0.07531994581,0,0
IRSTD-1K,XDU9,3,1,0,0.6073073745,0.601157546,0.5278272033,0.5150671601,1.808398366,1.613575101,1.412963629,0.8403183818,1.443386436,-0.07950219512,0,0
