dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_222,2,1,1,0.817139864,0.8040316701,0.7997825146,0.8034510612,2.890281677,3.459377289,3.579263926,1.128074408,3.692349434,0.07401531935,0.6666666865,0
NUAA-SIRST,Misc_222,3,1,0,0.5347864628,0.5439810157,0.5965217948,0.5951099396,1.173086286,1.782955527,2.084033012,0.9334977865,2.052195311,-0.0395309329,0.6666666865,0
NUAA-SIRST,Misc_222,4,1,0,0.3919816613,0.3181408644,0.3060745597,0.2893470526,0.9432727098,0.9710271358,0.979770124,1.001388311,0.9879924655,0.0008715987206,0.6666666865,0
NUAA-SIRST,Misc_111,1,1,1,0.4454574883,0.5914233327,0.5914233327,0.5914233327,2.223377943,37.99283981,37.99283981,nan,37.99283981,nan,0.8125,0
NUAA-SIRST,Misc_111,2,1,1,0.7739560604,0.7656979561,0.7611523271,0.7730315924,3.294570684,3.705487967,3.781756401,1.092356205,3.725266457,0.05292272568,0.8125,0
NUAA-SIRST,Misc_111,3,1,0,0.4188126624,0.5598171949,0.5983576775,0.5964406133,0.9224405289,1.668473959,1.947261214,0.9487618804,1.942320228,-0.03020220995,0.8125,0
NUAA-SIRST,Misc_111,4,1,0,0.3671287894,0.2821751833,0.2693459988,0.2549786866,1.134595037,1.094463348,1.090116262,1.001283288,1.085559845,0.0008056163788,0.8125,0
NUAA-SIRST,Misc_153,1,1,1,0.4875033498,0.5271238685,0.5271238685,0.5271238685,4.75022316,42.41212082,42.41212082,nan,42.41212082,nan,0.8260869384,0
NUAA-SIRST,Misc_153,2,1,1,0.7623851895,0.7529218197,0.7535877228,0.7725554705,4.957048416,5.188539982,4.759269714,1.039312601,5.199626446,0.02472621202,0.8260869384,0
NUAA-SIRST,Misc_153,3,1,0,0.6249010563,0.5449522734,0.5688443184,0.5655605793,1.056068301,1.406070828,1.688355565,0.9151455164,1.665060878,-0.05045008659,0.8260869384,0
NUAA-SIRST,Misc_153,4,1,0,0.6102932096,0.5873806477,0.5629572272,0.5338994861,0.7776708007,0.8173658252,0.8257511854,1.011606097,0.8469666839,0.007214725018,0.8260869384,0
NUAA-SIRST,Misc_309,1,1,1,0.3588308692,0.5779163837,0.5779163837,0.5779163837,2.055615187,26.24067307,26.24067307,nan,26.24067307,nan,0.6031746268,0
NUAA-SIRST,Misc_309,2,1,1,0.6982727051,0.6905120611,0.6883642673,0.7009356618,2.303836346,2.41663599,2.41392374,1.108418584,2.477457285,0.06491994858,0.6031746268,0
NUAA-SIRST,Misc_309,3,1,0,0.5088157654,0.6065195203,0.6436085701,0.6533741355,1.099695444,1.208655596,1.372890353,1.017799973,1.406024694,0.01048725843,0.6031746268,0
NUAA-SIRST,Misc_309,4,1,0,0.5556893349,0.559104383,0.5493811965,0.5245085955,0.8483574986,0.877025187,0.8771961927,1.022182465,0.9107212424,0.01360958815,0.6031746268,0
NUAA-SIRST,Misc_374,1,1,1,0.4757485688,0.6371597648,0.6371597648,0.6371597648,2.691280603,14.82230091,14.82230091,nan,14.82230091,nan,0.8536585569,0
NUAA-SIRST,Misc_374,2,1,1,0.8533613682,0.8422285914,0.8422786593,0.8395292163,3.694589138,3.866948843,3.863576174,1.148541331,4.040287971,0.08586871624,0.8536585569,0
NUAA-SIRST,Misc_374,3,1,0,0.676921308,0.5904854536,0.6093047857,0.6151378751,1.322374463,1.492351294,1.749349236,0.9700974822,1.724839568,-0.01767557859,0.8536585569,0
NUAA-SIRST,Misc_374,4,1,0,0.6001489758,0.5890690684,0.5726462007,0.5502354503,1.089040637,1.016735077,1.013334751,1.012823224,1.021517396,0.007954239845,0.8536585569,0
NUAA-SIRST,Misc_312,1,1,1,0.4819738567,0.6124197245,0.6124197245,0.6124197245,3.471017599,19.54084015,19.54084015,nan,19.54084015,nan,0.8205128312,0
NUAA-SIRST,Misc_312,2,1,1,0.8489648104,0.8302925825,0.8257246017,0.8232186437,3.409087181,3.972595692,3.953391314,1.160194159,4.130910397,0.09296292067,0.8205128312,0
