dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUDT-SIRST,1,664,1,0,1,0,0.5912664221,0.04062031514,0.6623082022,0.05110990003,0.6623082022,0.05110990003,0.6623082022,0.05110990003,3.633174434,1.927521324,6.501125335,3.372813838,6.501125335,3.372813838,nan,nan,6.501125335,3.372813838,nan,nan,0.8959129392,0.1394055332,0.03313253012
NUDT-SIRST,2,664,1,0,1,0,0.8078495482,0.04842461334,0.7720331934,0.05002224547,0.769524964,0.0467560139,0.7730161737,0.04465223804,2.551010212,0.9944196798,2.755302546,0.8378822916,2.955050177,0.8217518176,1.165808346,0.09267578804,3.057549211,0.8392232584,0.0932461807,0.04587353636,0.8959129392,0.1394055332,0.03313253012
NUDT-SIRST,3,664,1,0,0,0,0.6774403019,0.08815473608,0.7286024279,0.0515062984,0.7335024538,0.04718060614,0.7234885976,0.05041157599,1.178756507,0.2689463679,2.448719963,0.893554577,2.872114972,1.05213763,1.097658582,0.07712242049,2.676606092,0.942766047,0.05352525907,0.04169137155,0.8959129392,0.1394055332,0.03313253012
NUDT-SIRST,4,664,1,0,0,0,0.6395985343,0.1337165654,0.5996447273,0.115696247,0.5833613055,0.1249262238,0.5828378596,0.1310880086,1.453541452,0.7082902672,1.284501857,0.3854173151,1.286057704,0.381696456,1.167336238,0.2161897227,1.313928716,0.4248983769,0.08675720399,0.1067389002,0.8959129392,0.1394055332,0.03313253012
