dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
IRSTD-1K,1,201,1,0,1,0,0.5823956577,0.03035306114,0.6903464237,0.03075947774,0.6903464237,0.03075947774,0.6903464237,0.03075947774,0.6903464237,0.03075947774,4.213277837,2.43759367,12.85722962,11.13798351,12.85722962,11.13798351,nan,nan,12.85722962,11.13798351,12.85722962,11.13798351,nan,nan,0.5571000113,0.2406997916,0.07960199005
IRSTD-1K,2,201,1,0,1,0,0.8083634904,0.03304492071,0.774984707,0.03366274186,0.7810612834,0.03248689221,0.7810612834,0.03248689221,0.774984707,0.03366274186,4.416663714,1.98688164,4.294903047,1.644545367,4.51509167,1.812129384,1.000000001,8.40826987e-09,4.51509167,1.812129384,4.294903047,1.644545367,2.980232239e-10,4.204134935e-09,0.5571000113,0.2406997916,0.07960199005
IRSTD-1K,3,201,1,0,0,0,0.7881029064,0.04087451013,0.7575347999,0.04155325164,0.746351713,0.03466165334,0.746351713,0.03466165334,0.7575347999,0.04155325164,3.393039463,1.431118403,3.186250587,1.007205807,4.057205822,1.363463877,1.000000001,8.40826987e-09,4.057205822,1.363463877,3.186250587,1.007205807,2.980232239e-10,4.204134935e-09,0.5571000113,0.2406997916,0.07960199005
IRSTD-1K,4,201,1,0,0,0,0.7016996166,0.06387242355,0.6719835157,0.05741104296,0.6609829553,0.05907042167,0.6609829553,0.05907042167,0.6719835157,0.05741104296,0.792310572,0.5782567941,0.8341610673,0.4374281497,0.8801258667,0.3845090159,1,0,0.8801258667,0.3845090159,0.8341610673,0.4374281497,0,0,0.5571000113,0.2406997916,0.07960199005
