dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUAA-SIRST,1,214,1,0,1,0,0.5095906773,0.0653582177,0.638049383,0.0505271239,0.638049383,0.0505271239,0.638049383,0.0505271239,0.638049383,0.0505271239,2.549307861,1.462911167,13.82819927,9.837236587,13.82819927,9.837236587,nan,nan,13.82819927,9.837236587,13.82819927,9.837236587,nan,nan,0.7158593685,0.1719873178,0.05140186916
NUAA-SIRST,2,214,1,0,1,0,0.8273151979,0.03247153378,0.7931568623,0.04492502989,0.7807761514,0.04605810589,0.7807761514,0.04605810589,0.7931568623,0.04492502989,5.504377802,2.263724924,4.736353396,1.703488034,4.219646554,1.301620112,1.000000004,2.261387202e-08,4.219646554,1.301620112,4.736353396,1.703488034,2.22821102e-09,1.130693601e-08,0.7158593685,0.1719873178,0.05140186916
NUAA-SIRST,3,214,1,0,0,0,0.7596915641,0.0997676791,0.737477466,0.07398580715,0.7475030308,0.04778171301,0.7475030308,0.04778171301,0.737477466,0.07398580715,1.274681844,0.8760948298,2.158974418,0.6717986401,3.055414644,0.8467074241,1,0,3.055414644,0.8467074241,2.158974418,0.6717986401,0,0,0.7158593685,0.1719873178,0.05140186916
NUAA-SIRST,4,214,1,0,0,0,0.679760713,0.1548441152,0.6097630683,0.1116868017,0.5970737202,0.08198954052,0.5970737202,0.08198954052,0.6097630683,0.1116868017,0.8210128312,0.3701315218,0.8646630401,0.230340856,1.167113481,0.244022197,1,0,1.167113481,0.244022197,0.8646630401,0.230340856,0,0,0.7158593685,0.1719873178,0.05140186916
