dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUDT-SIRST,1,664,1,0,1,0,0.5930545708,0.03997552184,0.6679328573,0.05318234429,0.6679328573,0.05318234429,0.6679328573,0.05318234429,0.6679328573,0.05318234429,2.966749675,1.529635685,5.981159891,3.017504103,5.981159891,3.017504103,nan,nan,5.981159891,3.017504103,5.981159891,3.017504103,nan,nan,0.8798962214,0.1588824633,0.03313253012
NUDT-SIRST,2,664,1,0,1,0,0.8093553326,0.05027087154,0.7769074382,0.05020794526,0.76831216,0.05222629453,0.76831216,0.05222629453,0.76831216,0.05222629453,4.645453533,1.875742387,3.628103878,1.123697342,3.202867566,0.9192765514,1.000000001,1.300585577e-08,3.202867566,0.9192765514,3.202867566,0.9192765514,7.181282503e-10,6.502927885e-09,0.8798962214,0.1588824633,0.03313253012
NUDT-SIRST,3,664,1,0,0,0,0.6909048246,0.0918597094,0.6923315368,0.06434356598,0.717659018,0.04303928581,0.717659018,0.04303928581,0.717659018,0.04303928581,1.197553203,0.3706159228,1.736811371,0.4805598651,2.368811152,0.6855027722,1,0,2.368811152,0.6855027722,2.368811152,0.6855027722,0,0,0.8798962214,0.1588824633,0.03313253012
NUDT-SIRST,4,664,1,0,0,0,0.6660414223,0.09802698494,0.579413312,0.0861056659,0.5607371846,0.07618570699,0.5607371846,0.07618570699,0.5607371846,0.07618570699,1.143807451,0.8484274229,1.12104955,0.4620301684,1.153580045,0.3557908049,1.000000001,7.994722199e-09,1.153580045,0.3557908049,1.153580045,0.3557908049,2.692980939e-10,3.9973611e-09,0.8798962214,0.1588824633,0.03313253012
