dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
IRSTD-1K,1,201,1,0,1,0,0.5774978255,0.03158525459,0.6856546876,0.02824573701,0.6856546876,0.02824573701,0.6856546876,0.02824573701,0.6856546876,0.02824573701,4.442097873,2.49933755,14.3783172,12.9682026,14.3783172,12.9682026,nan,nan,14.3783172,12.9682026,14.3783172,12.9682026,nan,nan,0.5360558542,0.2312377948,0.07462686567
IRSTD-1K,2,201,1,0,1,0,0.810884833,0.04550928844,0.7944655564,0.04610045812,0.7939069052,0.04090904187,0.7898462323,0.04267652763,0.7939069052,0.04090904187,2.217075683,1.028324814,3.385764583,1.389810299,4.135414477,1.702777755,0.9833373433,0.05082502633,3.718368237,1.52996641,4.135414477,1.702777755,-0.009555778801,0.02746583237,0.5360558542,0.2312377948,0.07462686567
IRSTD-1K,3,201,1,0,0,0,0.7542216078,0.04738127718,0.734072752,0.04298277307,0.7397990049,0.04055168338,0.7306158688,0.04130293326,0.7397990049,0.04055168338,1.38265101,0.7758822658,1.95254938,0.7360313791,1.953514527,0.764519706,1.030932242,0.08748588411,1.871141319,0.6854076631,1.953514527,0.764519706,0.01574463099,0.04804175521,0.5360558542,0.2312377948,0.07462686567
IRSTD-1K,4,201,1,0,0,0,0.6702851603,0.07616141178,0.6276216922,0.07271474538,0.6093888246,0.07855103082,0.604363029,0.08382873669,0.6093888246,0.07855103082,0.8223462265,0.2842501103,0.8082559873,0.2695699261,0.8026655251,0.2620094279,1.075013388,0.09139592664,0.8249566677,0.2474138368,0.8026655251,0.2620094279,0.03116999522,0.03929800659,0.5360558542,0.2312377948,0.07462686567
