dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUDT-SIRST,1,664,1,0,1,0,0.6088553308,0.04025068506,0.6766254671,0.04952652972,0.6766254671,0.04952652972,0.6766254671,0.04952652972,0.6766254671,0.04952652972,3.140852055,1.72471033,5.820013679,3.049250113,5.820013679,3.049250113,nan,nan,5.820013679,3.049250113,5.820013679,3.049250113,nan,nan,0.8962166142,0.1435022376,0.02560240964
NUDT-SIRST,2,664,1,0,1,0,0.8209520656,0.0388868463,0.7941363572,0.03322024813,0.7872213632,0.03579378652,0.7872213632,0.03579378652,0.7941363572,0.03322024813,6.81569236,2.338826935,5.322536891,1.600546249,4.430098133,1.437142195,1.000000001,1.300585577e-08,4.430098133,1.437142195,5.322536891,1.600546249,7.181282503e-10,6.502927885e-09,0.8962166142,0.1435022376,0.02560240964
NUDT-SIRST,3,664,1,0,0,0,0.688129216,0.09290971977,0.6849355822,0.06019982141,0.7097860847,0.03669171353,0.7097860847,0.03669171353,0.6849355822,0.06019982141,1.249040693,0.6922005362,1.84375216,0.5950107941,2.468927065,0.7948295071,1,0,2.468927065,0.7948295071,1.84375216,0.5950107941,0,0,0.8962166142,0.1435022376,0.02560240964
NUDT-SIRST,4,664,1,0,0,0,0.5457683411,0.1862203001,0.4648129665,0.1164618636,0.479323666,0.1080854211,0.479323666,0.1080854211,0.4648129665,0.1164618636,0.8113418007,0.2193550025,0.9764321169,0.175030824,1.069669445,0.1839261817,1.000000001,7.994722199e-09,1.069669445,0.1839261817,0.9764321169,0.175030824,2.692980939e-10,3.9973611e-09,0.8962166142,0.1435022376,0.02560240964
