dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUAA-SIRST,1,214,1,0,1,0,0.5016170094,0.06971153947,0.6319768888,0.04969776464,0.6319768888,0.04969776464,0.6319768888,0.04969776464,0.6319768888,0.04969776464,2.701287944,1.603477308,15.68905322,11.48414129,15.68905322,11.48414129,nan,nan,15.68905322,11.48414129,15.68905322,11.48414129,nan,nan,0.7177086454,0.1666498753,0.06542056075
NUAA-SIRST,2,214,1,0,1,0,0.8352621546,0.03624964594,0.8117885361,0.04377892742,0.8021449945,0.04699998082,0.8021449945,0.04699998082,0.8021449945,0.04699998082,5.76977943,2.383771305,4.999344712,1.791736041,4.642869911,1.47084095,1.000000004,2.261387202e-08,4.642869911,1.47084095,4.642869911,1.47084095,2.22821102e-09,1.130693601e-08,0.7177086454,0.1666498753,0.06542056075
NUAA-SIRST,3,214,1,0,0,0,0.6886030299,0.1050225475,0.7250585924,0.08070587837,0.7283572385,0.06186155738,0.7283572385,0.06186155738,0.7283572385,0.06186155738,0.9939412899,0.4094886472,1.981290638,0.6313657849,2.426927934,0.7905537568,1,0,2.426927934,0.7905537568,2.426927934,0.7905537568,0,0,0.7177086454,0.1666498753,0.06542056075
NUAA-SIRST,4,214,1,0,0,0,0.5813439805,0.09385562611,0.5077069978,0.09767211043,0.4815097336,0.116661811,0.4815097336,0.116661811,0.4815097336,0.116661811,0.9008261925,0.3049386769,0.9779717489,0.2781680636,1.154849429,0.2264911972,1,0,1.154849429,0.2264911972,1.154849429,0.2264911972,0,0,0.7177086454,0.1666498753,0.06542056075
