dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUDT-SIRST,1,664,1,0,1,0,0.5804010776,0.04076993875,0.6746903367,0.04990883694,0.6746903367,0.04990883694,0.6746903367,0.04990883694,0.6746903367,0.04990883694,3.255635325,1.675799766,6.651973941,3.458902583,6.651973941,3.458902583,nan,nan,6.651973941,3.458902583,6.651973941,3.458902583,nan,nan,0.8839410495,0.1525222681,0.03012048193
NUDT-SIRST,2,664,1,0,1,0,0.8205667546,0.04489105575,0.7898857054,0.04918386931,0.7915841802,0.04502045593,0.78696288,0.04390112208,0.7915841802,0.04502045593,2.760212603,1.328661858,2.645352725,0.8895673119,3.266984552,1.028705609,1.115453619,0.06165344345,3.266364442,0.9867982489,3.266984552,1.028705609,0.07255675635,0.03609914061,0.8839410495,0.1525222681,0.03012048193
NUDT-SIRST,3,664,1,0,0,0,0.7532151234,0.07236070215,0.7148386578,0.06676329222,0.7206002607,0.06976099669,0.7104262717,0.06916691443,0.7206002607,0.06976099669,2.357323152,1.141317976,2.200141282,0.8596898405,2.573260749,1.018746644,1.031305962,0.03405437006,2.413399838,0.9086990397,2.573260749,1.018746644,0.01678728923,0.01821165628,0.8839410495,0.1525222681,0.03012048193
NUDT-SIRST,4,664,1,0,0,0,0.7462420649,0.1594008318,0.6926226419,0.1187766479,0.679862516,0.1338591169,0.6643436453,0.1365960785,0.679862516,0.1338591169,0.793609068,0.3483872683,1.052131418,0.3385808897,1.0514259,0.4147315199,0.9111018873,0.06983394787,1.021205885,0.3663424998,1.0514259,0.4147315199,-0.05126094621,0.04224303218,0.8839410495,0.1525222681,0.03012048193
