dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUDT-SIRST,000216,4,1,0,0.4750519693,0.3647128344,0.348356396,0.348356396,0.3647128344,0.7531070113,0.8788003922,0.884796083,1,0.884796083,0.8788003922,0,residual,0.9384615421,0
NUDT-SIRST,000373,1,1,1,0.6568785906,0.7404702902,0.7404702902,0.7404702902,0.7404702902,7.065598965,10.79625988,10.79625988,nan,10.79625988,10.79625988,nan,stage1,1,0
NUDT-SIRST,000373,2,1,1,0.8444339037,0.8179947734,0.8256320357,0.8256320357,0.8179947734,12.4203434,9.966677666,8.989835739,1,8.989835739,9.966677666,0,residual,1,0
NUDT-SIRST,000373,3,1,0,0.7155895829,0.6878103614,0.6929023266,0.6929023266,0.6878103614,2.001371622,1.772668958,1.909519076,1,1.909519076,1.772668958,0,residual,1,0
NUDT-SIRST,000373,4,1,0,0.5362719297,0.4176590145,0.4860299826,0.4860299826,0.4176590145,0.6983754635,0.6945787072,1.385006428,1,1.385006428,0.6945787072,0,residual,1,0
NUDT-SIRST,000556,1,1,1,0.5648800731,0.6436650753,0.6436650753,0.6436650753,0.6436650753,9.789338112,16.04200363,16.04200363,nan,16.04200363,16.04200363,nan,stage1,1,0
NUDT-SIRST,000556,2,1,1,0.8477860689,0.7982222438,0.7876961827,0.7876961827,0.7982222438,6.152135849,6.144578457,4.419726372,1,4.419726372,6.144578457,0,residual,1,0
NUDT-SIRST,000556,3,1,0,0.7050837278,0.726713419,0.7422702909,0.7422702909,0.726713419,0.9479576349,1.426366329,1.866307974,1,1.866307974,1.426366329,0,residual,1,0
NUDT-SIRST,000556,4,1,0,0.6244786978,0.4729317129,0.471542269,0.471542269,0.4729317129,1.458232284,1.17623651,1.201018572,1,1.201018572,1.17623651,0,residual,1,0
NUDT-SIRST,000417,1,1,1,0.6127890944,0.6954689026,0.6954689026,0.6954689026,0.6954689026,3.209535837,5.356564999,5.356564999,nan,5.356564999,5.356564999,nan,stage1,1,0
NUDT-SIRST,000417,2,1,1,0.8470624685,0.8027927279,0.8115849495,0.8115849495,0.8027927279,7.832444191,5.900631905,5.887259483,1,5.887259483,5.900631905,0,residual,1,0
NUDT-SIRST,000417,3,1,0,0.7433214784,0.7189822793,0.7272294164,0.7272294164,0.7189822793,1.239759564,2.109170437,2.524111032,1,2.524111032,2.109170437,0,residual,1,0
NUDT-SIRST,000417,4,1,0,0.5632612109,0.4563444257,0.5059074163,0.5059074163,0.4563444257,0.3545999825,0.7903923392,0.9235538244,1,0.9235538244,0.7903923392,0,residual,1,0
NUDT-SIRST,000485,1,1,1,0.6255380511,0.6970804334,0.6970804334,0.6970804334,0.6970804334,2.559319258,2.983797789,2.983797789,nan,2.983797789,2.983797789,nan,stage1,0.8963414431,0
NUDT-SIRST,000485,2,1,1,0.8464508057,0.8177768588,0.8108355403,0.8108355403,0.8177768588,7.479774952,5.058636189,3.645060301,1.000000119,3.645060301,5.058636189,5.960464478e-08,residual,0.8963414431,0
NUDT-SIRST,000485,3,1,0,0.691503644,0.6984060407,0.7169585228,0.7169585228,0.6984060407,0.5354635715,1.485229611,1.833417058,1,1.833417058,1.485229611,0,residual,0.8963414431,0
NUDT-SIRST,000485,4,1,0,0.6250866652,0.470166862,0.4666399658,0.4666399658,0.470166862,0.7599220276,1.003555059,1.027274847,1,1.027274847,1.003555059,0,residual,0.8963414431,0
NUDT-SIRST,000557,1,1,1,0.510541141,0.6023347974,0.6023347974,0.6023347974,0.6023347974,12.84775066,25.66217613,25.66217613,nan,25.66217613,25.66217613,nan,stage1,0.8695651889,0
NUDT-SIRST,000557,2,1,1,0.8249251842,0.7629753351,0.7320100069,0.7320100069,0.7629753351,10.81509495,10.65107727,7.415189266,1,7.415189266,10.65107727,0,residual,0.8695651889,0
NUDT-SIRST,000557,3,1,0,0.686267972,0.678966403,0.7033248544,0.7033248544,0.678966403,1.187765956,3.0991745,4.281720161,1,4.281720161,3.0991745,0,residual,0.8695651889,0
NUDT-SIRST,000557,4,1,0,0.6758203506,0.5768910646,0.5934920311,0.5934920311,0.5768910646,0.425424099,1.064624667,0.9622488618,1,0.9622488618,1.064624667,0,residual,0.8695651889,0
NUDT-SIRST,000153,1,1,1,0.6060900092,0.6334436536,0.6334436536,0.6334436536,0.6334436536,1.83217752,4.49223423,4.49223423,nan,4.49223423,4.49223423,nan,stage1,1,0
NUDT-SIRST,000153,2,1,1,0.80681777,0.7880935073,0.7839033008,0.7839033008,0.7880935073,9.448179245,6.821377754,6.065046787,1,6.065046787,6.821377754,0,residual,1,0
NUDT-SIRST,000153,3,1,0,0.5902993679,0.702796936,0.7488729954,0.7488729954,0.702796936,0.817615211,2.01663661,3.211174965,1,3.211174965,2.01663661,0,residual,1,0
NUDT-SIRST,000153,4,1,0,0.2024201602,0.3831795752,0.4096224308,0.4096224308,0.3831795752,0.9581725001,1.139642954,1.149533749,1,1.149533749,1.139642954,0,residual,1,0
NUDT-SIRST,000955,1,1,1,0.6297277808,0.7046502233,0.7046502233,0.7046502233,0.7046502233,1.703273058,2.27513504,2.27513504,nan,2.27513504,2.27513504,nan,stage1,0.9750000238,0
NUDT-SIRST,000955,2,1,1,0.8635114431,0.8172827363,0.8187764883,0.8187764883,0.8172827363,6.419164658,4.468914509,3.224064827,1,3.224064827,4.468914509,0,residual,0.9750000238,0
NUDT-SIRST,000955,3,1,0,0.7425449491,0.7220956087,0.7310000658,0.7310000658,0.7220956087,2.214069843,2.406458616,2.970817566,1,2.970817566,2.406458616,0,residual,0.9750000238,0
NUDT-SIRST,000955,4,1,0,0.6453734636,0.5780843496,0.5634269714,0.5634269714,0.5780843496,0.7275836468,0.7873470187,0.9952585101,1,0.9952585101,0.7873470187,0,residual,0.9750000238,0
NUDT-SIRST,000511,1,1,1,0.5953166485,0.6734876633,0.6734876633,0.6734876633,0.6734876633,2.287557602,2.951841831,2.951841831,nan,2.951841831,2.951841831,nan,stage1,0.8767123222,0
NUDT-SIRST,000511,2,1,1,0.8544959426,0.8099136353,0.8060344458,0.8060344458,0.8099136353,5.586858273,4.028132915,3.105433941,1,3.105433941,4.028132915,0,residual,0.8767123222,0
NUDT-SIRST,000511,3,1,0,0.6944407821,0.6847323179,0.6899920702,0.6899920702,0.6847323179,0.829010725,1.201471329,1.501963854,1,1.501963854,1.201471329,0,residual,0.8767123222,0
NUDT-SIRST,000511,4,1,0,0.597727716,0.4653227329,0.4593175352,0.4593175352,0.4653227329,1.112354755,0.9819968939,1.114037514,1,1.114037514,0.9819968939,0,residual,0.8767123222,0
NUDT-SIRST,001038,1,1,1,0.5647387505,0.5871146321,0.5871146321,0.5871146321,0.5871146321,1.986501813,5.264677525,5.264677525,nan,5.264677525,5.264677525,nan,stage1,0.9210526347,0
NUDT-SIRST,001038,2,1,1,0.7477173209,0.7270113826,0.7233256102,0.7233256102,0.7270113826,10.40537167,7.206684589,5.981945038,1,5.981945038,7.206684589,0,residual,0.9210526347,0
NUDT-SIRST,001038,3,1,0,0.7290492654,0.7249755263,0.7306079268,0.7306079268,0.7249755263,2.688747168,2.861027241,3.249675274,1,3.249675274,2.861027241,0,residual,0.9210526347,0
NUDT-SIRST,001038,4,1,0,0.6562443972,0.5333615541,0.5350521803,0.5350521803,0.5333615541,0.5957450271,0.843644917,0.8098756671,1,0.8098756671,0.843644917,0,residual,0.9210526347,0
NUDT-SIRST,001239,1,1,1,0.6495694518,0.6912479401,0.6912479401,0.6912479401,0.6912479401,2.220603704,10.98627949,10.98627949,nan,10.98627949,10.98627949,nan,stage1,1,0
NUDT-SIRST,001239,2,1,1,0.8166218996,0.8132234812,0.791762352,0.791762352,0.8132234812,10.38879013,7.935619831,6.122414112,1,6.122414112,7.935619831,0,residual,1,0
NUDT-SIRST,001239,3,1,0,0.5924201608,0.6080893278,0.6751090288,0.6751090288,0.6080893278,1.239972591,2.611593485,3.706912756,1,3.706912756,2.611593485,0,residual,1,0
NUDT-SIRST,001239,4,1,0,0.6400668621,0.4659637213,0.4628878832,0.4628878832,0.4659637213,0.7120262384,0.9737356305,1.084053159,1,1.084053159,0.9737356305,0,residual,1,0
NUDT-SIRST,000986,1,1,1,0.5752025247,0.6127897501,0.6127897501,0.6127897501,0.6127897501,2.333986521,4.109107971,4.109107971,nan,4.109107971,4.109107971,nan,stage1,0.84375,0
NUDT-SIRST,000986,2,1,1,0.8006075621,0.7639969587,0.7677655816,0.7677655816,0.7639969587,4.340371609,3.678268194,2.956497908,1,2.956497908,3.678268194,0,residual,0.84375,0
NUDT-SIRST,000986,3,1,0,0.7804329395,0.7252380252,0.7083877921,0.7083877921,0.7252380252,3.451380014,1.985909581,2.271477222,1,2.271477222,1.985909581,0,residual,0.84375,0
NUDT-SIRST,000986,4,1,0,0.6921060681,0.556669414,0.5650809407,0.5650809407,0.556669414,0.561986506,0.8910440207,0.9841563702,1,0.9841563702,0.8910440207,0,residual,0.84375,0
NUDT-SIRST,000740,1,1,1,0.6088826656,0.6820902228,0.6820902228,0.6820902228,0.6820902228,3.284898996,3.867004871,3.867004871,nan,3.867004871,3.867004871,nan,stage1,0.9375,0
NUDT-SIRST,000740,2,1,1,0.8461422324,0.8143097162,0.8149492145,0.8149492145,0.8143097162,6.48417902,4.876966953,4.670946121,1,4.670946121,4.876966953,0,residual,0.9375,0
NUDT-SIRST,000740,3,1,0,0.7760521173,0.7429573536,0.7376823425,0.7376823425,0.7429573536,0.6912245154,1.324581742,1.761204004,1,1.761204004,1.324581742,0,residual,0.9375,0
NUDT-SIRST,000740,4,1,0,0.7056728005,0.5814698935,0.5701460838,0.5701460838,0.5814698935,0.5631074905,0.9046845436,0.8243860602,1,0.8243860602,0.9046845436,0,residual,0.9375,0
NUDT-SIRST,001018,1,1,1,0.4962433279,0.5728997588,0.5728997588,0.5728997588,0.5728997588,1.245873451,2.438821077,2.438821077,nan,2.438821077,2.438821077,nan,stage1,0.9499999881,0
NUDT-SIRST,001018,2,1,1,0.7989791632,0.7631055713,0.7525959015,0.7525959015,0.7631055713,4.671549797,3.512836218,2.507364273,1,2.507364273,3.512836218,0,residual,0.9499999881,0
NUDT-SIRST,001018,3,1,0,0.7663575411,0.7413260937,0.7379418612,0.7379418612,0.7413260937,2.235899925,2.535972118,2.912164211,1,2.912164211,2.535972118,0,residual,0.9499999881,0
NUDT-SIRST,001018,4,1,0,0.6514415741,0.5361232162,0.5072045326,0.5072045326,0.5361232162,0.4728813767,0.7739747763,0.8827736974,1,0.8827736974,0.7739747763,0,residual,0.9499999881,0
NUDT-SIRST,001068,1,1,1,0.6114536524,0.6312716007,0.6312716007,0.6312716007,0.6312716007,1.85712719,5.914181232,5.914181232,nan,5.914181232,5.914181232,nan,stage1,0.8860759735,0
NUDT-SIRST,001068,2,1,1,0.7494232655,0.7356562018,0.7224107981,0.7224107981,0.7356562018,4.647804737,3.961293936,3.160260677,1,3.160260677,3.961293936,0,residual,0.8860759735,0
NUDT-SIRST,001068,3,1,0,0.6803494096,0.6504973173,0.7100996971,0.7100996971,0.6504973173,1.650170565,1.721350193,2.686377048,1,2.686377048,1.721350193,0,residual,0.8860759735,0
NUDT-SIRST,001068,4,1,0,0.183931008,0.2331996411,0.2930961251,0.2930961251,0.2331996411,0.98301512,1.057438493,1.026440978,1,1.026440978,1.057438493,0,residual,0.8860759735,0
NUDT-SIRST,000902,1,1,1,0.6190537214,0.6460773349,0.6460773349,0.6460773349,0.6460773349,1.909706831,4.109742165,4.109742165,nan,4.109742165,4.109742165,nan,stage1,0.893617034,0
NUDT-SIRST,000902,2,1,1,0.7717929482,0.7548606992,0.735281229,0.735281229,0.7548606992,7.739801884,6.053946495,5.061684608,1,5.061684608,6.053946495,0,residual,0.893617034,0
NUDT-SIRST,000902,3,1,0,0.6561832428,0.6710009575,0.7130979896,0.7130979896,0.6710009575,2.022320986,2.625617027,3.62718153,1,3.62718153,2.625617027,0,residual,0.893617034,0
