dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
NUAA-SIRST,1,214,1,0,1,0,0.5356140023,0.0585070639,0.6349551229,0.04772705427,0.6349551229,0.04772705427,0.6349551229,0.04772705427,0.6349551229,0.04772705427,2.733488795,1.542495315,13.62678717,9.797754366,13.62678717,9.797754366,nan,nan,13.62678717,9.797754366,13.62678717,9.797754366,nan,nan,0.6992158599,0.191681926,0.05140186916
NUAA-SIRST,2,214,1,0,1,0,0.8068714961,0.05119626501,0.7841594453,0.05051912746,0.7806544925,0.04788938745,0.7774818537,0.04627910032,0.7806544925,0.04788938745,3.604336485,1.473799556,3.432572416,1.169330176,3.796101921,1.239162986,1.058373282,0.05865441881,3.841477537,1.29098484,3.796101921,1.239162986,0.03485638126,0.03523211983,0.6992158599,0.191681926,0.05140186916
NUAA-SIRST,3,214,1,0,0,0,0.5710872875,0.1004189,0.5702834837,0.1039560056,0.582311036,0.1143108788,0.5533403777,0.1073659646,0.582311036,0.1143108788,0.9360159704,0.4049253035,1.332776405,0.470152836,1.53571689,0.5593103946,1.061816075,0.1257503768,1.466777239,0.4126975164,1.53571689,0.5593103946,0.03301769258,0.07206944428,0.6992158599,0.191681926,0.05140186916
NUAA-SIRST,4,214,1,0,0,0,0.4939177346,0.1767873746,0.5287245158,0.1349330736,0.5089060335,0.1367263932,0.4713826214,0.1364252571,0.5089060335,0.1367263932,0.9747802133,0.2784381423,0.9383332632,0.2698243268,0.9655403282,0.259553709,1.017875387,0.07293483821,0.9630423174,0.2049979823,0.9655403282,0.259553709,0.009712679642,0.04085318197,0.6992158599,0.191681926,0.05140186916
