dataset,stage,count,mean_stage_enabled,std_stage_enabled,mean_stage_used_as_decoder_skip,std_stage_used_as_decoder_skip,mean_R_high_low,std_R_high_low,mean_R_high_residual,std_R_high_residual,mean_R_high_high_raw,std_R_high_high_raw,mean_R_high_high_hat,std_R_high_high_hat,mean_R_high_high_for_fusion,std_R_high_high_for_fusion,mean_low_fg_bg,std_low_fg_bg,mean_residual_fg_bg,std_residual_fg_bg,mean_high_raw_fg_bg,std_high_raw_fg_bg,mean_gate_fg_bg,std_gate_fg_bg,mean_high_hat_fg_bg,std_high_hat_fg_bg,mean_high_for_fusion_fg_bg,std_high_for_fusion_fg_bg,mean_gate_fg_minus_bg,std_gate_fg_minus_bg,mean_pred_iou,std_pred_iou,false_alarm_rate
IRSTD-1K,1,201,1,0,1,0,0.5856219438,0.03604963309,0.693973256,0.03169114611,0.693973256,0.03169114611,0.693973256,0.03169114611,0.693973256,0.03169114611,4.286167501,2.217260279,14.04935999,13.29738085,14.04935999,13.29738085,nan,nan,14.04935999,13.29738085,14.04935999,13.29738085,nan,nan,0.5190737156,0.2346717712,0.08457711443
IRSTD-1K,2,201,1,0,1,0,0.8080184973,0.03107481664,0.7774370559,0.03568924608,0.7777176351,0.03006571146,0.7777176351,0.03006571146,0.7777176351,0.03006571146,3.404480308,1.819682726,3.338467822,1.526712769,4.010456073,1.760849286,1.000000001,8.40826987e-09,4.010456073,1.760849286,4.010456073,1.760849286,2.980232239e-10,4.204134935e-09,0.5190737156,0.2346717712,0.08457711443
IRSTD-1K,3,201,1,0,0,0,0.7439258707,0.05216822086,0.7296470217,0.04092279275,0.7367538395,0.03244330151,0.7367538395,0.03244330151,0.7367538395,0.03244330151,1.288514531,0.5856503087,2.065869454,0.6237195477,2.788684906,0.8973445455,1.000000001,8.40826987e-09,2.788684906,0.8973445455,2.788684906,0.8973445455,2.980232239e-10,4.204134935e-09,0.5190737156,0.2346717712,0.08457711443
IRSTD-1K,4,201,1,0,0,0,0.6485878707,0.0868059267,0.6302605924,0.07809260985,0.6242379773,0.05985337414,0.6242379773,0.05985337414,0.6242379773,0.05985337414,0.6904331028,0.3680005783,0.7948137806,0.3207826178,0.8069831349,0.3074605934,1,0,0.8069831349,0.3074605934,0.8069831349,0.3074605934,0,0,0.5190737156,0.2346717712,0.08457711443
