dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_212,4,1,0,0.1801968515,0.4703740478,0.4681964219,0.4428017735,0.4681964219,1.018304229,0.897873044,0.8926926255,0.9961974025,0.8936237097,0.8926926255,-0.002041339874,high_raw,0.8333333135,0
NUAA-SIRST,Misc_359,1,1,1,0.5755612254,0.646921277,0.646921277,0.646921277,0.646921277,2.457145691,6.307362556,6.307362556,nan,6.307362556,6.307362556,nan,stage1,0.8309859037,0
NUAA-SIRST,Misc_359,2,1,1,0.8282494545,0.8098033071,0.8149613738,0.8109540343,0.8149613738,1.656614661,1.786461949,2.053398132,1.030536771,2.044858456,2.053398132,0.01844990253,high_raw,0.8309859037,0
NUAA-SIRST,Misc_359,3,1,0,0.6378061771,0.653067112,0.6384444833,0.6167547703,0.6384444833,0.6067247987,0.7866920233,0.9509654045,0.9781430364,0.9163392782,0.9509654045,-0.0124963522,high_raw,0.8309859037,0
NUAA-SIRST,Misc_359,4,1,0,0.6840815544,0.669670701,0.6616232395,0.634868443,0.6616232395,0.8849716187,0.5881652832,0.6289967299,1.062565565,0.6917431951,0.6289967299,0.03448742628,high_raw,0.8309859037,0
NUAA-SIRST,Misc_237,1,1,1,0.5547565818,0.6622338891,0.6622338891,0.6622338891,0.6622338891,1.940729499,14.752882,14.752882,nan,14.752882,14.752882,nan,stage1,0.625,0
NUAA-SIRST,Misc_237,2,1,1,0.8325561285,0.810990572,0.8113074303,0.8061386943,0.8113074303,7.166200638,6.027382851,6.776063919,1.076743126,6.918564796,6.776063919,0.04667329788,high_raw,0.625,0
NUAA-SIRST,Misc_237,3,1,0,0.5616271496,0.5115477443,0.5019205809,0.4929082692,0.5019205809,1.435500741,1.752654433,1.868514776,0.9723080397,1.807302356,1.868514776,-0.01933836937,high_raw,0.625,0
NUAA-SIRST,Misc_237,4,1,0,0.6319290996,0.6231215,0.5958262086,0.5660075545,0.5958262086,1.122860432,1.005052686,0.9985105395,0.9674431086,0.9871717095,0.9985105395,-0.01745212078,high_raw,0.625,0
NUAA-SIRST,Misc_331,1,1,1,0.5717180967,0.6199401617,0.6199401617,0.6199401617,0.6199401617,3.605466366,19.44221878,19.44221878,nan,19.44221878,19.44221878,nan,stage1,0.6666666865,0
